team,DE height,DE weight,DT height,DT weight
ari,76.66666666666667,313.6666666666667,75.33333333333333,324.3333333333333
atl,75.16666666666667,265.5,73.6,296.4
bal,78.0,290.6666666666667,74.0,322.75
buf,76.6,261.4,75.0,303.75
car,76.5,255.83333333333334,74.75,324.25
chi,76.0,289.0,77.5,326.0
cin,76.2,272.6,73.8,310.4
cle,75.6,269.2,75.25,303.0
dal,75.5,268.8333333333333,74.25,316.0
den,74.0,290.0,74.0,307.0
det,75.25,268.75,74.66666666666667,323.3333333333333
gb,78.0,296.0,75.25,304.75
hou,76.33333333333333,288.3333333333333,73.66666666666667,301.6666666666667
ind,75.6,266.8,76.0,310.0
jax,75.66666666666667,268.3333333333333,75.4,303.8
kc,76.33333333333333,268.8333333333333,75.75,302.25
lac,75.66666666666667,269.0,75.75,306.5
lar,76.0,274.5,74.75,301.75
mia,76.0,271.6666666666667,77.0,313.25
min,75.6,260.8,75.8,292.6
ne,75.8,270.0,76.0,300.0
no,76.4,274.6,74.75,306.25
nyg,77.0,302.0,75.8,315.4
nyj,76.2,278.2,75.5,311.5
lv,76.8,266.0,74.25,311.0
phi,75.0,255.8,75.5,302.5
pit,76.0,300.6666666666667,75.5,307.5
sf,76.0,277.1666666666667,74.0,303.0
sea,75.2,270.8,74.5,333.0
tb,77.0,275.5,74.75,318.75
ten,77.0,273.5,75.2,299.4
wsh,76.2,262.2,75.0,309.5
