"","name","Tm","Pos","Year","Age","No.","G","GS","Cmp","Att","Yds","IAY","IAY/PA","CAY","CAY/Cmp","CAY/PA","YAC","YAC/Cmp","Bats","ThAwy","Spikes","Drops","Drop%","BadTh","Bad%","OnTgt","OnTgt%","Sk","PktTime","Bltz","Hrry","Hits","Prss","Prss%","Scrm","Yds/Scr","papassatt","papassyds","url"
"1","Matt Ryan","ATL","QB",2020,"35","2","16","16","407","626","4581","5337","8.5","2939","7.2","4.7","1642","4.0","6","18","1","33","5.4%","89","14.7%","458","75.5%","41","2.6","204","55","70","166","24.3%","16","6.5","152","1432","https://www.pro-football-reference.com/players/R/RyanMa00.htm"
"2","Tom Brady","TAM","QB",2020,"43","12","16","16","401","610","4633","5531","9.1","2833","7.1","4.6","1800","4.5","4","13","4","31","5.2%","122","20.6%","438","73.9%","21","2.4","161","34","58","113","17.8%","4","2.0","110","1119","https://www.pro-football-reference.com/players/B/BradTo00.htm"
"3","Ben Roethlisberger","PIT","QB",2020,"38","7","15","15","399","608","3803","4220","6.9","1850","4.6","3.0","1953","4.9","13","2","0","39","6.4%","91","15.0%","463","76.4%","13","2.1","175","42","51","106","17.0%","3","7.0","48","234","https://www.pro-football-reference.com/players/R/RoetBe00.htm"
"4","Justin Herbert","LAC","QB",2020,"22","10","15","15","396","595","4336","4378","7.4","2121","5.4","3.6","2215","5.6","7","7","4","23","3.9%","105","18.0%","447","76.5%","32","2.4","170","85","70","187","28.7%","25","5.6","127","1140","https://www.pro-football-reference.com/players/H/HerbJu00.htm"
"5","Patrick Mahomes","KAN","QB",2020,"25","15","15","15","390","588","4740","4910","8.4","2473","6.3","4.2","2267","5.8","8","20","1","28","4.9%","100","17.6%","436","76.9%","22","2.6","141","62","59","143","22.0%","40","7.3","144","1068","https://www.pro-football-reference.com/players/M/MahoPa00.htm"
"6","Josh Allen","BUF","QB",2020,"24","17","16","16","396","572","4544","4857","8.5","2692","6.8","4.7","1852","4.7","4","22","0","25","4.5%","88","16.0%","435","79.1%","26","2.6","244","64","47","137","21.9%","29","7.9","160","1501","https://www.pro-football-reference.com/players/A/AlleJo02.htm"
"7","Kyler Murray","ARI","QB",2020,"23","1","16","16","375","558","3971","4340","7.8","2213","5.9","4.0","1758","4.7","14","25","8","13","2.5%","88","16.8%","405","77.1%","27","2.4","156","55","24","106","16.7%","51","8.4","107","877","https://www.pro-football-reference.com/players/M/MurrKy00.htm"
"8","Russell Wilson","SEA","QB",2020,"32","3","16","16","384","558","4212","4809","8.6","2385","6.2","4.3","1827","4.8","4","24","1","27","5.1%","84","15.8%","424","79.5%","47","2.6","206","65","67","179","27.2%","53","8.7","123","1038","https://www.pro-football-reference.com/players/W/WilsRu00.htm"
"9","Jared Goff","LAR","QB",2020,"26","16","15","15","370","552","3952","3406","6.2","1800","4.9","3.3","2152","5.8","6","24","2","27","5.1%","84","16.0%","413","78.5%","23","2.5","185","42","54","119","19.9%","22","4.5","163","1352","https://www.pro-football-reference.com/players/G/GoffJa00.htm"
"10","Deshaun Watson","HOU","QB",2020,"25","4","16","16","382","544","4823","4840","8.9","2847","7.5","5.2","1976","5.2","5","19","2","19","3.6%","79","15.1%","420","80.3%","49","2.5","168","75","47","171","26.1%","62","6.4","81","834","https://www.pro-football-reference.com/players/W/WatsDe00.htm"
